Palette relevee dans les 364 icones de icon.DXGBY0wT.js (funnel bitepal)
frequence  hex
  231  #262626
  214  #4BA85C
  190  #AAE5DE
  161  #FC7059
   97  #C9C9D9
   91  #EFCF33
   89  #295C43
   89  #FCDBE4
   89  #FFF7B2
   84  #3C8AF3
   61  #47B25A
   54  #FFDE17
   29  #F7C563
   26  #B55B50
   25  #FFA633
   18  #E5E0D8
   15  #ED6142
   13  #141414
   11  #FF8066
    9  #4F8BEC
    8  #EDEDF2
    8  #BBBCBF
    7  #2A5C43
    7  #47B35A
    7  #FEC000
    6  #2C5E45
    6  #4B8065
    6  #0071CE
    5  #C3873D
    4  #4C8166
    4  #F4C9D5
    4  #985048
    4  #D44F7B
    4  #FEE612
    3  #5F6368
    3  #FFD95E
    3  #FFEDF3
    3  #FDA18F
    2  #EBF7ED
    2  #FF9501
    2  #003087
    2  #0070E0
    2  #707173
    2  #EF876E
    2  #D4E5D0
    2  #FDC34E
    2  #00B67A
    2  #99BBFF
    2  #3C8CF5
    1  #F9ACAC
    1  #FF5533
    1  #4285F4
    1  #34A853
    1  #FBBC04
    1  #EA4335
    1  #FFC34D
    1  #D19544
    1  #FFE7E1
    1  #EDB548
    1  #9FBBFA
    1  #E9F0FF
    1  #F6833B
    1  #064E43
    1  #D9D9D9
    1  #FF5A00
    1  #EB001B
    1  #F79E1B
    1  #FED6E1
    1  #FE674E
    1  #32AB44
    1  #4CB94C
    1  #FFDA00
    1  #1434CB
    1  #005128
